# FIELDS: tokenid	parserid	token	lemma	pos	entity	head	deprel
1	1	La	la	RD	O	2	det
2	2	bocca	bocca	S	O	13	nmod
3	3	socchiusa	socchiudere	A	O	2	amod
4	4	,	[PUNCT]	FF	O	2	punct
5	5	le	la	RD	O	6	det
6	6	braccia	braccio	S	O	2	conj
7	7	abbandonate	abbandonato	A	O	6	amod
8	8	lungo	lungo	E	O	10	case
9	9	i	il	RD	O	10	det
10	10	fianchi	fianco	S	O	6	nmod
11	11	,	[PUNCT]	FF	O	2	punct
12	12	Milton	Milton	SP	PER	13	nsubj
13	13	guardava	guardare	V	O	0	root
14	14	la	la	RD	O	15	det
15	15	villa	villa	S	O	13	dobj
16	16	di	di	E	O	17	case
17	17	Fulvia	Fulvia	SP	LOC	15	nmod
18	18	,	[PUNCT]	FF	O	15	punct
19	19	solitaria	solitario	A	O	15	amod
20	20	sulla	sulla	E+RD	O	21	case
21	21	collina	collina	S	O	19	nmod
22	22	che	che	PR	O	23	nsubj
23	23	degradava	degradare	V	O	21	acl:relcl
24	24	sulla	sulla	E+RD	O	25	case
25	25	città	città	S	O	23	nmod
26	26	di	di	E	O	27	case
27	27	Alba	Alba	SP	LOC	25	nmod
28	28	.	[PUNCT]	FS	O	13	punct

29	1	Il	il	RD	O	2	det
30	2	cuore	cuore	S	O	5	nsubj
31	3	non	non	BN	O	5	neg
32	4	gli	gli	PC	O	5	iobj
33	5	batteva	battere	V	O	0	root
34	6	,	[PUNCT]	FF	O	5	punct
35	7	anzi	anzi	B	O	8	advmod
36	8	sembrava	sembrare	V	O	5	advcl
37	9	latitante	latitante	A	O	8	xcomp
38	10	dentro	dentro	B	O	8	advmod
39	11	il	il	RD	O	13	det
40	12	suo	suo	AP	O	13	det:poss
41	13	corpo	corpo	S	O	8	dobj
42	14	.	[PUNCT]	FS	O	5	punct

43	1	Ecco	ecco	B	O	4	advmod
44	2	i	il	RD	O	4	det
45	3	quattro	quattro	N	O	4	nummod
46	4	ciliegi	ciliegio	S	O	0	root
47	5	che	che	PR	O	6	nsubj
48	6	fiancheggiavano	fiancheggiare	V	O	4	acl:relcl
49	7	il	il	RD	O	8	det
50	8	vialetto	vialetto	S	O	6	dobj
51	9	oltre	oltre	E	O	11	case
52	10	il	il	RD	O	11	det
